Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW X6,2016,3.0 л (249 л.с.),дизель,АКПП,4WD,272 000 км,3 300 000,Москва
BMW 3-Series,2008,2.5 л (218 л.с.),бензин,АКПП,задний,250 000 км,830 000,Томск
BMW X5,2025,3.0 л (352 л.с.),дизель,АКПП,4WD,6 351 км,15 895 000,Новосибирск
BMW X5,2014,3.0 л (313 л.с.),дизель,АКПП,4WD,301 000 км,2 690 000,Киров
BMW 5-Series,2005,2.5 л (177 л.с.),бензин,механика,задний,60 000 км,987 000,Краснодар
BMW X5,2017,3.0 л (218 л.с.),дизель,АКПП,4WD,198 000 км,3 279 000,Москва
BMW X5,2001,4.4 л (286 л.с.),бензин,АКПП,4WD,350 000 км,650 000,Пушкино
BMW 5-Series,2020,2.0 л (190 л.с.),дизель,АКПП,4WD,131 124 км,3 699 000,Тюмень
BMW X3,2009,2.0 л (177 л.с.),дизель,АКПП,4WD,311 000 км,575 000,Екатеринбург
BMW 3-Series,2020,2.0 л (258 л.с.),бензин,АКПП,задний,149 000 км,3 150 000,Грозный
BMW 3-Series,2003,2.2 л (170 л.с.),бензин,АКПП,задний,270 000 км,590 000,Симферополь
BMW 3-Series,2001,2.2 л (170 л.с.),бензин,АКПП,задний,324 700 км,590 000,Екатеринбург
BMW X6,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,172 592 км,4 250 000,Москва
BMW 5-Series,2019,3.0 л (340 л.с.),бензин,АКПП,задний,117 000 км,3 850 000,Краснодар
BMW 3-Series,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,205 000 км,1 920 000,Калининград
BMW 7-Series,1997,2.8 л (193 л.с.),бензин,АКПП,задний,210 000 км,470 000,Тюмень
BMW X3,2008,2.5 л (218 л.с.),бензин,АКПП,4WD,305 000 км,1 050 000,Томск
BMW 5-Series,2018,2.0 л (184 л.с.),бензин,АКПП,задний,159 000 км,2 550 000,Москва
BMW 3-Series,2024,2.0 л (156 л.с.),бензин,АКПП,задний,69 900 км,3 000 000,Грозный
BMW X5,2007,3.0 л (264 л.с.),бензин,АКПП,4WD,100 000 км,1 850 000,Чита
BMW X2,2018,2.0 л (192 л.с.),бензин,АКПП,4WD,90 148 км,3 200 000,Москва
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,6 850 000,Саратов
BMW X4,2021,2.0 л (184 л.с.),бензин,АКПП,4WD,55 000 км,5 700 000,Краснодар
BMW 5-Series,1998,2.8 л (193 л.с.),бензин,механика,задний,597 000 км,480 000,Нальчик
BMW X5,2017,3.0 л (306 л.с.),бензин,АКПП,4WD,155 000 км,3 370 000,Москва
BMW 3-Series,2014,2.0 л (184 л.с.),бензин,АКПП,4WD,149 000 км,2 190 000,Симферополь
BMW 5-Series,2013,3.0 л (258 л.с.),дизель,АКПП,4WD,220 454 км,2 280 000,Новосибирск
BMW 5-Series,2008,2.5 л (218 л.с.),бензин,АКПП,задний,236 244 км,1 350 000,Москва
BMW 1-Series,2012,1.6 л (136 л.с.),бензин,АКПП,задний,270 000 км,800 000,Суходол
BMW 3-Series,2005,2.0 л (150 л.с.),бензин,механика,задний,410 000 км,860 000,Москва
BMW X5,2018,3.0 л (306 л.с.),бензин,АКПП,4WD,85 812 км,2 371 500,Краснодар
BMW 5-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,60 000 км,1 500 000,Санкт-Петербург
BMW X5,2007,3.0 л (272 л.с.),бензин,АКПП,4WD,228 000 км,1 350 000,Иркутск
BMW 3-Series,2008,3.0 л (306 л.с.),бензин,АКПП,задний,5 000 км,6 490 000,Казань
BMW 5-Series,2006,2.5 л (218 л.с.),бензин,АКПП,4WD,280 000 км,1 330 000,Евпатория
BMW 5-Series,2020,2.0 л (184 л.с.),бензин,АКПП,задний,70 982 км,4 450 000,Москва
BMW X5,2006,3.0 л (231 л.с.),бензин,АКПП,4WD,320 000 км,830 000,Краснодар
BMW X5,2021,3.0 л (286 л.с.),дизель,АКПП,4WD,89 000 км,8 250 000,Омск
BMW 5-Series,2021,2.0 л (195 л.с.),дизель,АКПП,4WD,148 695 км,3 988 000,Чебоксары
BMW 5-Series,2006,3.0 л (258 л.с.),бензин,АКПП,4WD,289 050 км,730 000,Москва
BMW 4-Series,2025,2.0 л (245 л.с.),бензин,АКПП,задний,8 000 км,5 450 000,Гомель
BMW 5-Series,2004,2.5 л (192 л.с.),бензин,АКПП,задний,369 000 км,700 000,Тольятти
BMW X6,2016,3.0 л (249 л.с.),дизель,АКПП,4WD,170 000 км,3 700 000,Мегет
BMW 5-Series,1997,2.0 л (150 л.с.),бензин,механика,задний,500 000 км,440 000,Москва
BMW 5-Series,2010,2.5 л (204 л.с.),бензин,АКПП,задний,261 930 км,1 199 000,Санкт-Петербург
BMW 5-Series,2017,2.0 л (190 л.с.),дизель,АКПП,4WD,192 000 км,3 350 000,Москва
BMW 7-Series,2009,3.0 л (326 л.с.),бензин,АКПП,задний,185 000 км,1 600 000,Красноярск
BMW 5-Series,2016,3.0 л (258 л.с.),дизель,АКПП,4WD,210 000 км,2 600 000,Омск
BMW 3-Series,2013,2.0 л (184 л.с.),бензин,АКПП,задний,233 920 км,1 600 000,Москва
BMW 3-Series,2005,2.5 л (218 л.с.),бензин,АКПП,задний,428 000 км,800 000,Уфа
BMW 3-Series,2008,2.5 л (218 л.с.),бензин,АКПП,4WD,160 000 км,980 000,Новосибирск
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,1 км,7 250 000,Тюмень
BMW 3-Series,2000,3.0 л (231 л.с.),бензин,АКПП,задний,9 999 км,5 140 000,Казань
BMW 1-Series,2008,3.0 л (306 л.с.),бензин,механика,задний,3 333 км,4 690 000,Казань
BMW X5,2014,3.0 л (306 л.с.),бензин,АКПП,4WD,168 603 км,3 200 000,Краснодар
BMW 3-Series,2000,1.9 л (118 л.с.),бензин,механика,задний,386 000 км,600 000,Прокопьевск
BMW X6,2015,3.0 л (249 л.с.),дизель,АКПП,4WD,167 919 км,3 550 000,Кемерово
BMW 3-Series,2010,2.5 л (218 л.с.),бензин,АКПП,4WD,183 597 км,1 150 000,Новосибирск
BMW X3,2008,2.0 л (177 л.с.),дизель,АКПП,4WD,156 000 км,950 000,Хабаровск
BMW X6,2018,3.0 л (313 л.с.),дизель,АКПП,4WD,290 000 км,3 200 000,Троицк
BMW X5,2007,3.0 л (264 л.с.),бензин,АКПП,4WD,260 000 км,1 420 000,Москва
BMW 3-Series,2011,2.0 л (136 л.с.),бензин,АКПП,задний,241 000 км,1 098 000,Новосибирск
BMW 3-Series,2003,2.0 л (143 л.с.),бензин,АКПП,задний,118 010 км,830 000,Новосибирск
BMW X2,2019,2.0 л (150 л.с.),дизель,АКПП,4WD,107 772 км,2 570 000,Новосибирск
BMW X3,2009,2.0 л (177 л.с.),дизель,АКПП,4WD,239 000 км,1 119 000,Новосибирск
BMW 3-Series,2013,2.0 л (184 л.с.),дизель,АКПП,4WD,121 856 км,1 900 000,Новосибирск
BMW 5-Series,2016,2.0 л (190 л.с.),дизель,АКПП,4WD,184 000 км,3 598 000,Новосибирск
BMW X6,2009,4.4 л (400 л.с.),бензин,АКПП,4WD,245 000 км,1 600 000,Чита
BMW X4,2024,2.0 л (245 л.с.),бензин,АКПП,4WD,26 000 км,7 000 000,Москва
BMW X6,2019,4.4 л (530 л.с.),бензин,АКПП,4WD,97 000 км,7 900 000,Воронеж
