Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW 1-Series,2008,1.6 л (116 л.с.),бензин,АКПП,задний,95 000 км,670 000,Москва
BMW 5-Series,2019,2.0 л (190 л.с.),дизель,АКПП,задний,115 000 км,2 650 000,Москва
BMW 3-Series,2016,2.0 л (184 л.с.),бензин,АКПП,4WD,130 000 км,2 550 000,Москва
BMW X7,2020,3.0 л (249 л.с.),дизель,АКПП,4WD,79 740 км,10 599 000,Москва
BMW 3-Series,2020,2.0 л (184 л.с.),бензин,АКПП,задний,93 000 км,4 100 000,Москва
BMW 5-Series,2024,2.0 л (258 л.с.),бензин,АКПП,4WD,22 000 км,7 950 000,Москва
BMW 4-Series,2022,2.0 л (258 л.с.),бензин,АКПП,4WD,74 000 км,4 690 000,Москва
BMW X5,2020,2.0 л (231 л.с.),дизель,АКПП,4WD,105 000 км,5 900 000,Москва
BMW 5-Series,2020,2.0 л (190 л.с.),дизель,АКПП,4WD,55 300 км,5 500 000,Москва
BMW X6,2012,3.0 л (306 л.с.),бензин,АКПП,4WD,173 400 км,1 775 000,Москва
BMW X5,2016,3.0 л (313 л.с.),дизель,АКПП,4WD,231 000 км,3 450 000,Москва
BMW X5,2012,3.0 л (245 л.с.),дизель,АКПП,4WD,158 000 км,1 640 000,Москва
BMW 5-Series,2020,2.0 л (252 л.с.),бензин,АКПП,4WD,82 000 км,5 300 000,Москва
BMW 5-Series,2014,2.0 л (184 л.с.),бензин,АКПП,задний,241 000 км,1 690 000,Москва
BMW 5-Series,2012,2.0 л (245 л.с.),бензин,АКПП,задний,239 000 км,1 390 000,Москва
BMW 5-Series,2014,3.0 л (258 л.с.),дизель,АКПП,4WD,263 000 км,1 940 000,Москва
BMW X6,2011,3.0 л (306 л.с.),бензин,АКПП,4WD,233 000 км,1 490 000,Москва
BMW X5,2020,4.4 л (600 л.с.),бензин,АКПП,4WD,21 500 км,9 990 000,Москва
