Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW 5-Series,1996,2.5 л (170 л.с.),бензин,механика,задний,405 000 км,440 000,Калуга
BMW X1,2017,1.5 л (136 л.с.),бензин,АКПП,передний,67 000 км,1 950 000,Саяногорск
BMW 5-Series Gran Turismo,2010,3.0 л (245 л.с.),дизель,АКПП,4WD,269 000 км,1 900 000,Симферополь
BMW 5-Series,1985,2.7 л (122 л.с.),бензин,АКПП,задний,380 000 км,500 000,Анапа
BMW 3-Series,2019,2.0 л (190 л.с.),дизель,АКПП,4WD,107 900 км,4 100 000,Москва
BMW X3,2014,2.0 л (184 л.с.),дизель,АКПП,4WD,142 000 км,2 320 000,Челябинск
BMW 3-Series Gran Turismo,2020,2.0 л (150 л.с.),дизель,автомат,задний,110 000 км,2 550 000,Крымск
BMW 3-Series,2014,2.0 л (184 л.с.),бензин,АКПП,задний,169 000 км,1 850 000,Москва
BMW 5-Series,2000,2.5 л (163 л.с.),дизель,АКПП,задний,620 000 км,725 000,Севастополь
BMW X1,2012,2.0 л (150 л.с.),бензин,АКПП,задний,158 085 км,1 300 000,Чита
BMW M5,2018,4.4 л (600 л.с.),бензин,АКПП,4WD,69 500 км,6 500 000,Магнитогорск
BMW 1-Series,2012,1.6 л (170 л.с.),бензин,АКПП,задний,277 700 км,2 500 000,Ставрополь
BMW X5,2005,3.0 л (218 л.с.),дизель,АКПП,4WD,343 000 км,1 700 000,Судак
BMW 5-Series,2011,2.0 л (184 л.с.),дизель,АКПП,задний,260 000 км,1 650 000,Ивдель
BMW 5-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,62 527 км,5 200 000,Москва
BMW 5-Series,1998,2.5 л (170 л.с.),бензин,АКПП,задний,311 000 км,465 000,Ува
BMW X5,2007,3.0 л (272 л.с.),бензин,АКПП,4WD,382 000 км,1 350 000,Тюмень
BMW X5,2010,3.0 л (306 л.с.),дизель,АКПП,4WD,322 000 км,1 950 000,Кингисепп
BMW X3,2007,2.5 л (218 л.с.),бензин,АКПП,4WD,153 000 км,1 500 000,Саратов
BMW X7,2026,3.0 л (352 л.с.),гибрид,АКПП,4WD,N/A,18 750 000,Москва
BMW X5,2008,4.8 л (355 л.с.),бензин,АКПП,4WD,350 000 км,2 200 000,Новосибирск
BMW X5,2023,3.0 л (298 л.с.),дизель,АКПП,4WD,34 500 км,13 100 000,Москва
BMW 3-Series,2001,2.2 л (170 л.с.),бензин,АКПП,задний,245 000 км,1 200 000,Симферополь
BMW X4,2019,2.0 л (184 л.с.),бензин,АКПП,4WD,97 527 км,4 500 000,Тюмень
BMW X7,2019,3.0 л (340 л.с.),гибрид,АКПП,4WD,94 000 км,7 300 000,Иркутск
BMW 3-Series,2006,2.5 л (218 л.с.),бензин,АКПП,4WD,299 999 км,1 200 000,Ставрополь
BMW 4-Series,2018,2.0 л (252 л.с.),бензин,АКПП,задний,125 000 км,2 850 000,Сочи
BMW 4-Series,2014,2.0 л (245 л.с.),бензин,АКПП,4WD,90 531 км,2 280 000,Москва
BMW 5-Series,2012,2.0 л (245 л.с.),бензин,АКПП,4WD,320 000 км,1 600 000,Псков
BMW X7,2025,3.0 л (340 л.с.),дизель,автомат,4WD,N/A,18 000 000,Москва
BMW X1,2016,1.5 л (136 л.с.),бензин,АКПП,передний,88 000 км,1 847 000,Красноярск
BMW X1,2017,1.5 л (136 л.с.),бензин,АКПП,передний,105 000 км,1 880 000,Краснодар
BMW 3-Series,2005,2.5 л (218 л.с.),бензин,АКПП,задний,270 000 км,750 000,Солнечногорск
BMW M4,2024,3.0 л (510 л.с.),бензин,АКПП,4WD,6 120 км,15 200 000,Москва
BMW 3-Series,2006,2.0 л (150 л.с.),бензин,АКПП,задний,330 000 км,1 100 000,Ипатово
BMW X5,2025,3.0 л (286 л.с.),дизель,автомат,4WD,N/A,16 300 000,Москва
BMW X3,2011,3.0 л (258 л.с.),дизель,АКПП,4WD,187 000 км,1 900 000,Новосибирск
BMW 3-Series,2003,2.0 л (200 л.с.),бензин,автомат,задний,245 000 км,590 000,Омск
