Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW X6,2017,3.0 л (249 л.с.),дизель,АКПП,4WD,77 972 км,4 750 000,Новосибирск
BMW X7,2022,3.0 л (249 л.с.),бензин,автомат,4WD,25 435 км,11 500 000,Новосибирск
BMW 2-Series Gran Tourer,2015,1.5 л (136 л.с.),бензин,АКПП,передний,140 000 км,1 300 000,Чита
BMW X5,2000,4.4 л (286 л.с.),бензин,АКПП,4WD,200 000 км,555 000,Новосибирск
BMW X5,2010,3.0 л (306 л.с.),бензин,АКПП,4WD,153 км,2 285 000,Якутск
BMW X5,2025,3.0 л (381 л.с.),бензин,АКПП,4WD,7 000 км,14 400 000,Корея→Иркутск
BMW X3,2014,2.0 л (190 л.с.),дизель,АКПП,4WD,181 085 км,2 199 000,Новосибирск
BMW X5,2012,4.4 л (555 л.с.),бензин,АКПП,4WD,86 091 км,3 800 000,Новосибирск
BMW 7-Series,2015,3.0 л (258 л.с.),дизель,АКПП,4WD,233 932 км,2 570 000,Новосибирск
BMW X5,2001,3.0 л (231 л.с.),бензин,АКПП,4WD,397 000 км,860 000,Новосибирск
BMW X5,2008,3.0 л (264 л.с.),бензин,АКПП,4WD,250 000 км,1 649 000,Кемерово
BMW X5,2015,3.0 л (249 л.с.),дизель,АКПП,4WD,194 036 км,3 150 000,Стерлитамак
BMW 5-Series,2017,2.0 л (190 л.с.),дизель,АКПП,4WD,165 000 км,3 199 999,Красноярск
BMW X5,2004,3.0 л (231 л.с.),бензин,АКПП,4WD,320 000 км,1 000 000,Норильск
BMW 5-Series,2015,2.0 л (184 л.с.),бензин,АКПП,задний,122 158 км,2 350 000,Новосибирск
BMW 5-Series,2006,3.0 л (258 л.с.),бензин,АКПП,задний,290 000 км,1 000 000,Омск
BMW 5-Series,2018,2.0 л (190 л.с.),дизель,АКПП,4WD,143 564 км,3 119 000,Кемерово
BMW X3,2011,3.0 л (258 л.с.),бензин,АКПП,4WD,258 000 км,1 669 000,Красноярск
BMW X5,2010,3.0 л (306 л.с.),бензин,АКПП,4WD,276 878 км,1 557 000,Новосибирск
BMW 5-Series,2000,2.0 л (150 л.с.),бензин,АКПП,задний,481 150 км,599 999,Тюмень
BMW X5,2003,3.0 л (231 л.с.),бензин,АКПП,4WD,234 363 км,1 200 000,Канск
BMW X1,2012,2.0 л (184 л.с.),бензин,АКПП,4WD,80 000 км,700 000,Омск
BMW 3-Series,2010,2.0 л (136 л.с.),бензин,АКПП,задний,230 000 км,1 047 000,Красноярск
BMW X6,2013,3.0 л (306 л.с.),бензин,АКПП,4WD,232 000 км,1 987 000,Красноярск
BMW X5,2017,3.0 л (313 л.с.),дизель,АКПП,4WD,138 000 км,4 500 000,Красноярск
BMW X3,2006,2.5 л (218 л.с.),бензин,АКПП,4WD,227 000 км,997 000,Красноярск
BMW 5-Series,2020,2.0 л (252 л.с.),бензин,АКПП,задний,104 685 км,4 779 000,Красноярск
BMW 5-Series,2013,2.0 л (218 л.с.),дизель,АКПП,4WD,171 862 км,1 795 000,Красноярск
BMW 1-Series,2015,1.6 л (136 л.с.),бензин,АКПП,задний,135 000 км,980 000,Уссурийск
BMW 3-Series,2019,2.0 л (190 л.с.),дизель,АКПП,4WD,49 000 км,3 450 000,Владивосток
BMW X3,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,58 100 км,5 350 000,Владивосток
BMW X3,2022,3.0 л (286 л.с.),дизель,АКПП,4WD,53 500 км,4 655 000,Минск
BMW X3,2011,2.0 л (184 л.с.),дизель,АКПП,4WD,279 000 км,1 390 000,Барнаул
BMW 3-Series,2016,1.5 л (136 л.с.),бензин,АКПП,задний,48 000 км,1 900 000,Томск
BMW 3-Series,2021,2.0 л (156 л.с.),бензин,АКПП,задний,30 000 км,2 890 000,Китай→Уссурийск
BMW 3-Series,2012,2.0 л (245 л.с.),бензин,АКПП,задний,136 000 км,1 970 000,Уссурийск
BMW X6,2011,4.4 л (555 л.с.),бензин,АКПП,4WD,170 000 км,2 450 000,Владивосток
BMW X3,2012,2.0 л (184 л.с.),дизель,АКПП,4WD,300 000 км,1 350 000,Красноярск
BMW X7,2019,3.0 л (340 л.с.),бензин,автомат,4WD,40 000 км,9 000 000,Южно-Сахалинск
