title,price,year,body_type,volume,fuel,gearbox,type
BMW 318,550 000 ₸,1991,седан,1.8,бензин,механика,Б/у
BMW X5,5 400 000 ₸,2002,кроссовер,3,бензин,автомат,Б/у
BMW X5,7 600 000 ₸,2007,кроссовер,4.8,бензин,автомат,Б/у
BMW X5,17 000 000 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW X5,18 000 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 530,31 900 000 ₸,2024,седан,2,бензин,автомат,Б/у
BMW 530,31 000 000 ₸,2024,седан,2,бензин,автомат,Б/у
BMW X5,15 800 000 ₸,2015,кроссовер,3,бензин,автомат,Б/у
BMW 850,67 000 000 ₸,2024,седан,4.4,бензин,автомат,Б/у
BMW 320,1 800 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 330,3 499 000 ₸,1996,седан,3,бензин,механика,Б/у
BMW 528,4 000 000 ₸,1999,седан,2.8,бензин,автомат,Б/у
BMW X5,17 700 000 ₸,2015,кроссовер,3,бензин,автомат,Б/у
BMW 525,900 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 530,5 130 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,2017
BMW 530,7 000 000 ₸,2008,универсал,3,бензин,автомат,Б/у
BMW 330,20 000 000 ₸,2019,седан,2,бензин,автомат,Б/у
BMW 525,1 850 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW X6,41 000 000 ₸,2022,кроссовер,3,бензин,автомат,Б/у
BMW 523,2 900 000 ₸,1996,седан,2.5,бензин,механика,Б/у
BMW X6,21 500 000 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW X6,8 900 000 ₸,2008,кроссовер,3,бензин,автомат,Б/у
BMW 528,3 300 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW X5,5 500 000 ₸,2003,кроссовер,3,бензин,автомат,Б/у
BMW 730,1 500 000 ₸,1995,седан,3,бензин,автомат,Б/у
BMW 528,9 500 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW 328,9 500 000 ₸,2010,кабриолет,3,бензин,автомат,Б/у
BMW 520,1 150 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 520,1 200 000 ₸,1990,седан,2,бензин,механика,Б/у
BMW 318,550 000 ₸,1993,седан,1.8,бензин,механика,Б/у
BMW 525,2 200 000 ₸,1995,универсал,2.5,бензин,механика,Б/у
BMW 520,1 300 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW M8,54 000 000 ₸,2019,седан,4.4,бензин,автомат,Б/у
BMW X5,15 000 000 ₸,На заказ,г.,Б/у кроссовер,3 л,бензин,2015
BMW 530,4 500 000 ₸,2001,седан,3,бензин,автомат,Б/у
BMW 528,2 600 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW X3,4 050 000 ₸,2005,кроссовер,2.5,бензин,автомат,Б/у
BMW 530,17 000 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 528,6 300 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,2013
BMW Z3,5 500 000 ₸,1998,родстер,1.9,бензин,механика,Б/у
BMW 540,4 800 000 ₸,1997,седан,4.4,бензин,автомат,Б/у
BMW X5,33 333 333 ₸,2019,кроссовер,3,бензин,автомат,Б/у
BMW X5,40 000 000 ₸,2023,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 300 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 750,12 500 000 ₸,2011,седан,4.4,бензин,автомат,Б/у
BMW 850,69 500 000 ₸,2022,седан,4.4,бензин,автомат,Б/у
BMW 528,9 500 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW X7,39 900 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW X5,39 500 000 ₸,2019,кроссовер,3,бензин,автомат,Б/у
BMW X7,66 500 000 ₸,2022,кроссовер,3,бензин,автомат,Б/у
BMW 850,79 000 000 ₸,2022,купе,4.4,бензин,автомат,Б/у
BMW X5,37 200 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW X6,89 500 000 ₸,2026,кроссовер,3,бензин,автомат,Б/у
BMW 320,1 500 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW X7,69 900 000 ₸,2022,кроссовер,4.4,бензин,автомат,Б/у
BMW 540,35 000 000 ₸,2021,седан,3,бензин,автомат,Б/у
BMW 550,42 300 000 ₸,2022,седан,4.4,бензин,автомат,Б/у
BMW 523,15 000 000 ₸,2010,седан,2.5,бензин,автомат,Б/у
BMW 525,1 600 000 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW 528,10 500 000 ₸,2013,седан,2,бензин,автомат,Б/у
BMW 328,2 500 000 ₸,1995,универсал,2.8,бензин,механика,Б/у
BMW X5,35 000 000 ₸,2020,кроссовер,3,бензин,автомат,Б/у
BMW 525,650 000 ₸,1990,седан,2.5,бензин,механика,Б/у
