title,price,year,body_type,volume,fuel,gearbox,type
BMW 525,1 100 000 ₸,1995,универсал,2.5,бензин,автомат,Б/у
BMW 528,7 200 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW X6,45 000 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW 330,3 000 000 ₸,1995,купе,3,бензин,автомат,Б/у
BMW 520,10 500 000 ₸,2013,седан,2,бензин,автомат,Б/у
BMW 525,1 000 000 ₸,1992,седан,2.5,бензин,автомат,Б/у
BMW 528,2 250 000 ₸,1996,седан,2.8,бензин,механика,Б/у
BMW X5,12 879 750 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW X5,6 000 000 ₸,2001,кроссовер,4.6,бензин,автомат,Б/у
BMW 520,1 200 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,1990
BMW 320,3 000 000 ₸,1999,седан,2,бензин,механика,Б/у
BMW 525,1 000 000 ₸,1992,седан,2.5,бензин,автомат,Б/у
BMW X5,5 200 000 ₸,2002,кроссовер,3,бензин,автомат,Б/у
BMW X5,4 500 000 ₸,2001,кроссовер,3,бензин,автомат,Б/у
BMW 530,2 500 000 ₸,1999,седан,3,бензин,автомат,Б/у
BMW 528,10 500 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW X5,8 000 000 ₸,2007,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 200 000 ₸,1992,седан,2,бензин,автомат,Б/у
BMW 530,24 000 000 ₸,2021,седан,2,бензин,автомат,Б/у
BMW 330,3 400 000 ₸,2001,седан,3,бензин,автомат,Б/у
BMW 320,900 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 730,1 350 000 ₸,1991,седан,3,бензин,механика,Б/у
BMW 528,2 100 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW M5,66 000 000 ₸,2023,седан,4.4,бензин,автомат,Б/у
BMW i5,27 500 000 ₸,2024,седан,эектричество,КПП автомат,с пробегом 15 700 км,Б/у
BMW 520,3 500 000 ₸,1995,седан,2,бензин,механика,Б/у
BMW 520,1 650 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW X5,7 999 999 ₸,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW X5,30 500 000 ₸,2019,кроссовер,3,бензин,автомат,Б/у
BMW 528,7 500 000 ₸,2009,седан,3,бензин,автомат,Б/у
BMW X5,18 800 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 730,3 000 000 ₸,1995,седан,3,бензин,автомат,Б/у
BMW X5,17 500 000 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW 520,800 000 ₸,1990,седан,2,бензин,механика,Б/у
BMW 330,1 450 000 ₸,1994,седан,2,бензин,механика,Б/у
BMW 520,2 700 000 ₸,1997,седан,2,бензин,автомат,Б/у
BMW 525,1 750 000 ₸,1994,седан,2.5,бензин,механика,Б/у
BMW 520,900 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 520,2 700 000 ₸,1998,седан,2.5,бензин,механика,Б/у
BMW 525,1 600 000 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW 728,3 500 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,12 000 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW 528,3 200 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 740,5 500 000 ₸,1999,седан,4.4,бензин,автомат,Б/у
BMW 325,1 150 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 730,1 500 000 ₸,1993,седан,3,бензин,автомат,Б/у
BMW X5,41 500 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW X5,19 900 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 520,550 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 525,1 100 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW iX3,24 000 000 ₸,2024,кроссовер,эектричество,КПП автомат,с пробегом 14 000 км,Б/у
BMW 730,21 800 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW X5 M,27 500 000 ₸,2015,кроссовер,4.4,бензин,робот,Б/у
BMW 540,22 000 000 ₸,2017,седан,3,бензин,автомат,Б/у
BMW X5,28 000 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 330,9 500 000 ₸,2007,кабриолет,3,бензин,автомат,Б/у
BMW 525,1 800 000 ₸,1994,седан,2.5,бензин,автомат,Б/у
