Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
bmw 3-series,2013,2.0,diesel,manual,rear,194340.0,1700000,ростов-на-дону
bmw x5,2017,3.0,diesel,automatic,awd,141100.0,3700000,ростов-на-дону
bmw 6-series,2011,3.0,petrol,automatic,rear,105000.0,2999999,москва
bmw 5-series,1995,2.0,petrol,manual,rear,826352.0,450000,челябинск
bmw x5,2013,3.0,diesel,automatic,awd,230000.0,2300000,нижнекамск
bmw 5-series gran turismo,2011,3.0,diesel,automatic,awd,299000.0,1100000,абинск
bmw 5-series,2019,2.0,diesel,automatic,rear,109451.0,4000000,москва
bmw x6,2021,4.4,petrol,automatic,awd,72200.0,11500000,москва
bmw 7-series,2011,4.4,petrol,automatic,awd,253000.0,1150000,екатеринбург
bmw x3,2025,2.0,petrol,automatic,awd,3393.0,6990000,санкт-петербург
bmw 3-series,2020,2.0,diesel,automatic,awd,79552.0,4090000,санкт-петербург
bmw x5,2009,220.0,,,,,1800000,екатеринбург
bmw x5,2008,3.0,petrol,automatic,awd,390000.0,1300000,красково
bmw x6,2012,3.0,petrol,automatic,awd,206000.0,2250000,бийск
bmw x5,2002,4.6,petrol,automatic,awd,284000.0,1299999,краснотурьинск
bmw 3-series,2004,1.8,petrol,manual,rear,194000.0,600000,тольятти
bmw x5,2016,3.0,diesel,automatic,awd,229570.0,4050000,симферополь
bmw x5,2008,4.8,petrol,automatic,awd,21.0,1930000,кызыл
bmw 5-series,2016,2.0,diesel,automatic,rear,260000.0,1850000,москва
bmw 3-series,2016,1.5,petrol,automatic,rear,52000.0,1620000,владивосток
bmw x1,2012,2.0,diesel,automatic,awd,268000.0,1300000,никольское
bmw 3-series,2017,1.5,petrol,automatic,rear,36600.0,1770000,владивосток
bmw 3-series,2014,1.6,petrol,automatic,rear,260000.0,1400000,голицыно
bmw 5-series,2015,3.0,diesel,automatic,awd,164169.0,2599000,санкт-петербург
bmw x3,2012,2.0,diesel,automatic,awd,237000.0,1820000,казань
bmw 5-series,2020,2.0,petrol,automatic,rear,105000.0,3750000,каспийск
bmw 2-series,2021,1.5,petrol,robot,front,35000.0,2500000,тюмень
bmw x5,2016,3.0,diesel,automatic,awd,165000.0,3900000,сургут
bmw x5,2021,3.0,diesel,automatic,awd,47000.0,8500000,красноярск
bmw x5,2000,3.0,petrol,automatic,awd,400000.0,1500000,барнаул
bmw x3,2025,2.0,hybrid,automatic,awd,6543.0,9350000,москва
bmw x3,2025,2.0,hybrid,automatic,awd,7414.0,8350000,москва
bmw x6,2013,3.0,diesel,automatic,awd,340000.0,2299000,сургут
bmw x5,2007,3.0,petrol,automatic,awd,384000.0,1100000,краснодар
bmw x5,2001,3.0,petrol,automatic,awd,231000.0,600000,чебаркуль
bmw 1-series,2012,1.6,petrol,automatic,rear,78000.0,1450000,минусинск
bmw 1-series,2006,2.0,petrol,automatic,rear,250000.0,485000,екатеринбург
bmw x6,2015,3.0,diesel,automatic,awd,178000.0,3200000,новосибирск
bmw 1-series,2012,1.6,petrol,automatic,rear,163000.0,1095000,яблоновский
bmw 3-series,2019,2.0,petrol,automatic,rear,168000.0,2770000,воронеж
bmw 5-series,1999,2.0,petrol,automatic,rear,417900.0,500000,москва
bmw 5-series,1991,2.5,petrol,manual,rear,366500.0,610000,москва
bmw x5,2013,3.0,diesel,automatic,awd,139000.0,3850000,махачкала
bmw 5-series,2016,2.0,diesel,automatic,rear,171000.0,2550000,москва
bmw 1-series,2013,1.6,petrol,automatic,rear,153000.0,1200000,пенза
bmw x3,2025,2.0,petrol,automatic,awd,,7570000,санкт-петербург
bmw x7,2022,3.0,hybrid,automatic,awd,37000.0,10700000,владивосток
bmw x5,2022,3.0,diesel,automatic,awd,84900.0,9500000,москва
bmw 3-series,2002,2.0,petrol,manual,rear,340000.0,150000,северобайкальск
bmw x3,2008,2.5,petrol,automatic,awd,346000.0,1283000,красноярск
bmw 5-series,1997,2.8,petrol,automatic,rear,276868.0,545000,йошкар-ола
bmw x3,2008,3.0,petrol,automatic,awd,100000.0,1350000,онохой
bmw 3-series,2012,2.0,petrol,automatic,rear,145446.0,1749000,уфа
bmw x4,2019,3.0,diesel,automatic,awd,121470.0,4700000,москва
bmw 5-series,2019,2.0,diesel,automatic,awd,300495.0,2259000,москва
bmw 2-series,2021,1.5,petrol,robot,front,83000.0,2769000,москва
bmw 5-series,2008,3.0,petrol,automatic,awd,181000.0,2000000,новосибирск
bmw x6,2010,3.0,petrol,automatic,awd,200000.0,300000,пермь
bmw 3-series,2013,1.6,petrol,automatic,rear,275628.0,1364900,самара
bmw 3-series,2008,2.0,diesel,manual,rear,313362.0,1250000,челябинск
bmw x6,2009,3.0,petrol,automatic,awd,360000.0,1690000,новосибирск
bmw 1-series,2007,1.6,petrol,manual,rear,326000.0,599000,старый оскол
bmw x5,2017,3.0,diesel,automatic,awd,150152.0,4689600,казань
bmw 6-series,2012,3.0,diesel,automatic,rear,91063.0,3350000,чебоксары
bmw 5-series,2021,2.0,petrol,automatic,awd,37000.0,5950000,новосибирск
bmw x1,2012,2.0,petrol,automatic,awd,123969.0,1448000,волгоград
bmw x5,2004,3.0,petrol,automatic,awd,268407.0,1599000,тверь
bmw 3-series,2021,2.0,petrol,automatic,rear,52800.0,3205000,китай→тюмень
bmw x6,2025,3.0,petrol,automatic,awd,43.0,15960000,санкт-петербург
bmw 2-series,2020,1.5,petrol,robot,front,52990.0,2779000,санкт-петербург
bmw 5-series,2000,2.0,petrol,manual,rear,270000.0,700000,москва
bmw 5-series,2004,2.2,petrol,manual,rear,400000.0,1200000,новосибирск
bmw 5-series,2020,2.0,diesel,automatic,rear,69000.0,3590000,владивосток
bmw x5,2004,3.0,petrol,automatic,awd,293000.0,900000,краснодар
bmw 7-series,2012,4.4,petrol,automatic,awd,132000.0,2100000,иркутск
bmw x5,2017,3.0,diesel,automatic,awd,98500.0,5250000,барнаул
bmw 5-series,2004,2.5,petrol,automatic,rear,155741.0,670000,хабаровск
